player_id,real_name,player_dob,player_position,place_of_birth,nationality,height_ft,height_cm,weight_st,weight_kg
49806,Jay Spearing,1988-11-25,Midfielder,Wallasey,England,5ft 6in,168.0,11st 1lb,70.29
143946,Ryan Stratulis,2003-04-30,Midfielder,,England,,,,
101526,Stephen Walker,2000-10-11,Midfielder,Middlesbrough,England,,,,
144980,Lewis Warrington,2002-10-10,Midfielder,,England,,,,
67179,Ryan Watson,1993-07-07,Midfielder,Crewe,England,6ft 1in,185.0,,
55846,Oliver Banks,1992-09-21,Forward,Rotherham,England,6ft 3in,191.0,11st 11lb,74.83
46423,Ali Crawford,1991-07-30,Midfielder,Lanark,Scotland,5ft 7in,170.0,,
41823,Scott Davies,1987-02-23,Goalkeeper,Blackpool,England,6ft,183.0,11st,69.84
46623,Mark Ellis,1988-09-30,Defender,Plymouth,England,6ft 2in,188.0,12st 4lb,78.0
88451,Morgan Ferrier,1994-11-15,Forward,Newham,England,6ft 1in,185.0,,
128732,Ethan Gouldbourne,2000-10-10,Midfielder,Liverpool,England,,,,
75196,Otis Khan,1995-09-05,Forward,,Pakistan,,,,
104997,Nya Kirby,2000-01-31,Midfielder,Islington,England,5ft 7in,170.0,,
56548,Danny Lloyd,1991-12-03,Midfielder,,England,,,,
75406,Emmanuel Monthe,1995-01-26,Defender,"Douala, Cameroon",Cameroon,6ft 4in,193.0,,
74341,Sid Nelson,1996-01-01,Defender,Lewisham,England,6ft 1in,185.0,,
116933,George Nugent,2001-12-04,Midfielder,Birkenhead,England,,,,
30552,David Nugent,1985-05-02,Forward,Liverpool,England,5ft 11in,180.0,11st 9lb,73.92
54992,Stefan Payne,1991-08-10,Forward,Lambeth,England,5ft 9in,175.0,11st 7lb,73.02
60385,George Ray,1993-10-13,Defender,England,Wales,5ft 10in,178.0,11st 3lb,71.2
55554,Liam Ridehalgh,1991-04-20,Defender,England,England,5ft 10in,178.0,,
99462,Sam Smith,1998-03-08,Forward,"Manchester,",England,6ft 1in,185.0,,
87739,Corey Taylor,1997-09-23,Forward,"Birmingham, England",England,5ft 6in,168.0,,
134764,Jamie Timlin,,Forward,England,England,,,,
40847,James Vaughan,1988-07-14,Forward,Birmingham,England,5ft 9in,175.0,12st 9lb,80.27
111844,Danny Walker-Rice,2000-11-10,Forward,,England,5ft 6in,168.0,,
70918,Kaiyne Woolery,1995-01-11,Forward,"London, England",England,,,,
125058,Jack Young,2000-10-21,Midfielder,England,England,,,,
128728,Joe Blackham,2001-09-10,Midfielder,Liverpool,England,,,,
89002,Cameron Borthwick-Jackson,1997-02-02,Defender,,England,6ft 1in,185.0,,
60564,Jake Caprice,1992-11-11,Defender,Lambeth,England,5ft 10in,178.0,11st 7lb,73.02
